Speech Duration,Pitch,Speech Rate,Jitter,Shimmer,MFCCs,Mood,Sentiment Score,Speaker ID,Age Group,Gender,Language
8.63,243.21,174,0.02,0.098,"[5.579, 8.248, 4.713, -4.62, -1.236, 4.859, 1.293, 3.674, -4.694, -3.505, 7.743, 2.376, -0.607]",Happy,0.52,1950159a-bc3b-4a5d-bc20-115e8af6b3a4,Child,Female,English
16.41,167.95,108,0.092,0.085,"[3.429, -1.346, 7.727, 5.472, -1.847, -4.637, 7.85, 0.629, 2.382, 7.391, -4.66, 8.213, 0.869]",Calm,0.25,f1bf123c-6308-4eaa-b747-0b5dbe29242e,Child,Female,English
9.25,152.71,87,0.024,0.055,"[3.558, 4.256, -9.134, -8.49, 7.234, 5.355, -7.38, 1.511, 5.267, -0.816, 0.231, 4.124, 0.31]",Confused,-0.07,557aa3d7-e2ad-473a-998e-2ce3be347132,Child,Male,English
8.66,345.04,165,0.034,0.049,"[-9.715, -5.406, 5.095, 7.105, -0.996, 2.029, 4.068, 4.68, -2.514, 8.782, -4.911, 1.521, -2.033]",Angry,-0.88,932a9a8f-5daf-448f-8968-40f920141aef,Child,Female,English
10.8,174.88,111,0.095,0.052,"[-4.95, 7.968, -6.629, 6.109, -2.124, -3.979, -2.4, 2.304, -0.605, -9.861, -1.941, -5.057, 4.134]",Neutral,0.0,aa7f0aa7-d58b-4135-8dad-2d3475ebf3d7,Senior,Female,English
8.85,228.13,201,0.056,0.032,"[2.558, 1.047, -1.527, -7.265, 3.751, -3.048, 9.653, 3.734, -5.958, 5.509, 9.94, -0.936, 3.499]",Excited,0.79,28a53489-8e0b-4a33-9d7c-3c926abbf08d,Adult,Female,English
7.75,217.86,135,0.08,0.067,"[0.151, -6.383, -2.919, -7.889, -9.719, 2.703, 2.848, 9.676, 5.969, 4.553, -7.877, -8.508, -3.864]",Happy,0.58,c4b17b9a-b9f1-4e23-8c56-3add47567cea,Adult,Female,English
7.13,266.48,161,0.038,0.031,"[-4.854, -8.626, -0.483, -0.261, 3.065, 8.503, 1.268, 6.69, 9.465, -2.475, -8.735, 7.869, -3.875]",Surprised,0.25,6a976193-2c88-480c-8d6a-824b7b738c1c,Child,Male,English
10.84,143.07,106,0.045,0.094,"[4.135, 7.133, -6.33, -4.83, -5.17, -5.911, -2.028, -6.755, 4.689, -2.421, 4.397, -0.571, -7.123]",Calm,0.29,90cc7d8f-777f-4099-a42e-aa1f6c3ab846,Child,Female,English
6.96,219.88,131,0.019,0.039,"[0.781, 6.821, 4.357, -4.54, 2.516, -5.173, 5.757, 4.175, 3.356, -4.833, -0.006, -8.16, -5.029]",Happy,0.51,2fb4acb5-1767-497f-badf-5836606b06fa,Senior,Male,English
4.02,249.39,165,0.084,0.042,"[8.682, 9.057, -1.406, -0.468, -0.177, -2.58, -9.872, -9.456, 1.703, -0.89, -5.2, 3.902, -8.22]",Surprised,0.13,0dd2f456-9ca4-4331-9387-d2022e83ffea,Adult,Female,English
9.15,229.66,151,0.063,0.067,"[-7.894, -2.921, -0.854, 8.306, 4.83, -5.614, -9.896, -0.391, 1.968, -2.719, -3.931, -8.761, 9.569]",Happy,0.42,20fcd44e-09e9-4c4d-bc1d-38a90d5ee2ed,Child,Female,English
7.05,181.67,115,0.063,0.083,"[8.428, 1.785, 7.615, -9.968, -8.168, 3.485, 9.309, 0.944, 0.386, 9.729, -2.285, 6.077, -0.897]",Fearful,-0.14,1e2e627d-c2ba-4b4d-afd8-eae409a351c0,Child,Female,English
9.52,174.13,100,0.031,0.083,"[3.628, 1.267, -4.175, -0.226, -5.484, 2.19, 2.36, 3.675, -1.879, 7.096, -9.135, 8.36, -1.934]",Confused,-0.2,c67385e6-c728-4d2a-b0b0-7b1716477b7f,Senior,Male,English
9.22,241.92,174,0.093,0.023,"[-8.557, -8.077, -6.516, 6.743, -0.383, 6.275, 2.651, -0.381, 5.728, -1.439, 7.612, 0.572, -4.801]",Happy,0.61,48f415a6-1b21-4a41-b5b1-2ad89ee19daf,Adult,Male,English
11.83,141.53,94,0.071,0.059,"[8.099, -3.046, 2.158, 9.112, -6.548, -2.845, -6.278, -9.649, 1.226, -9.121, -1.997, -9.295, -3.175]",Calm,0.28,ea2c4482-6cc5-4308-90b3-6a7b2e0051f2,Child,Female,English
12.81,127.36,61,0.095,0.018,"[-6.328, 2.083, -7.818, 8.203, 3.376, 2.462, -2.94, 2.247, 6.156, -6.962, 6.21, 5.624, -7.071]",Bored,0.05,c75a2fed-7382-4708-8527-b082447de6e7,Senior,Female,English
11.12,221.09,169,0.022,0.048,"[3.231, -8.548, 2.479, -0.703, 2.889, -9.521, -4.219, 1.647, 0.079, 0.097, -7.491, 8.391, -7.075]",Excited,0.89,2e88f7e9-c559-48ff-8063-a85259f7f2ee,Child,Female,English
9.02,165.66,122,0.074,0.08,"[-6.635, -5.546, 4.621, 7.41, 3.323, 2.549, 5.688, -0.797, 5.743, 6.275, 5.229, -3.902, 6.083]",Neutral,0.0,8f653af7-f2dd-4af2-8664-ec0cd9ed326d,Senior,Female,English
14.62,153.11,113,0.024,0.035,"[-7.46, 8.058, -5.248, -3.018, 2.737, -4.021, -3.073, 8.724, 7.821, 3.438, 2.927, 9.793, 6.438]",Neutral,0.0,3dbed45b-ace5-4d0c-b087-48791679eb29,Child,Female,English
7.34,303.9,152,0.098,0.011,"[-8.269, -0.576, 3.487, -6.135, 1.484, -1.905, -2.755, -2.681, -5.763, 4.528, 8.992, 1.657, -7.785]",Angry,-0.51,0761193f-a1dc-417d-9965-659c2e4345f4,Child,Female,English
13.73,265.85,123,0.018,0.057,"[-6.953, -4.198, -1.12, 8.275, 5.767, -0.742, 4.592, -3.23, 9.192, 5.759, -5.294, 9.403, 0.417]",Fearful,-0.31,f020254b-b252-451e-9af2-4a1f1e1eb2ef,Senior,Female,English
5.66,228.89,190,0.08,0.011,"[-6.203, 4.806, 8.864, -6.465, 5.423, -7.663, 3.684, -0.034, -5.574, -5.606, -6.726, 8.139, -1.767]",Excited,0.61,aec84384-277a-441f-bee3-e3c9377cae33,Child,Female,English
8.51,201.85,171,0.097,0.092,"[-6.873, 3.27, -2.818, 8.176, -3.046, 7.003, -7.343, 0.564, -2.476, 2.511, 6.08, 4.05, -9.4]",Happy,0.69,058beaf9-08b0-4f00-ae42-63b50fda9939,Child,Male,English
11.98,140.77,79,0.038,0.032,"[3.082, -0.676, 1.491, -4.718, -9.449, -3.559, -9.043, 8.813, 3.83, 6.183, -1.066, -3.848, 9.625]",Sad,-0.2,5ff9ed2e-8de9-46d9-aba0-2f5005828aa9,Senior,Male,English
3.62,276.54,145,0.07,0.032,"[-5.869, 9.224, -2.056, -2.165, -3.444, 7.143, 8.08, 1.483, 0.729, 6.367, 9.366, -2.624, -6.868]",Surprised,0.56,fe6cbf12-ff65-4069-837a-e15579ba88ad,Child,Female,English
13.42,141.45,120,0.078,0.017,"[9.582, -5.831, -7.036, 2.279, 7.953, 3.225, 0.411, -8.55, -5.853, 6.174, 9.591, 7.069, 3.883]",Neutral,0.0,1eb57bd9-dad9-4575-813b-e55c0fb43619,Child,Female,English
4.82,240.48,133,0.076,0.088,"[7.722, 8.58, -0.283, 6.45, -9.219, -8.315, -0.231, 6.662, 5.219, 1.096, 9.749, 8.611, 4.595]",Surprised,0.29,e2099508-ea93-465a-8012-5859e88843a2,Senior,Male,English
5.1,240.29,138,0.075,0.048,"[-5.447, 7.31, 9.406, -4.231, 1.92, 1.454, -4.237, -5.769, 4.816, 1.446, 4.381, -0.771, 1.381]",Surprised,0.45,4b4c2536-480c-4516-8e40-5a60b4c6095b,Child,Male,English
17.01,123.26,61,0.076,0.069,"[-3.586, 2.365, 0.232, 2.463, 5.353, -6.051, -3.221, -9.44, 3.373, -6.134, -6.952, -2.112, 6.456]",Bored,-0.21,4ccd1219-89f6-4e65-8f76-708ea66eb82c,Senior,Male,English
16.07,124.09,50,0.078,0.069,"[3.997, -1.535, 9.536, -4.654, 8.59, -9.184, 4.513, 1.105, 3.747, -0.268, -9.36, 3.348, 6.888]",Sad,-0.61,6d49df55-7e74-4d69-bc79-a3bcfe00685f,Adult,Female,English
7.45,190.28,152,0.088,0.02,"[1.742, 2.501, 4.221, 2.972, 7.415, -6.332, 2.592, -3.379, -9.669, 3.41, -5.332, -4.966, -1.844]",Happy,0.4,37183e73-1136-44be-9b79-634998a0615c,Adult,Female,English
18.44,127.73,59,0.088,0.081,"[-1.111, -0.358, -1.889, 3.51, 6.426, 6.623, -8.838, 2.884, 1.762, -7.22, -8.928, 5.181, 0.521]",Bored,0.09,466bc6cd-1bd0-4834-b6c4-546ef0de44f9,Adult,Female,English
6.56,291.03,145,0.088,0.073,"[-4.557, -8.908, 4.164, -1.678, -6.484, 4.209, 1.236, 9.177, -5.59, 2.913, -7.797, -4.517, 2.637]",Surprised,0.5,3f36b225-c430-433c-ba21-4b3c19ced532,Adult,Female,English
11.3,210.9,186,0.035,0.057,"[7.487, 9.1, 2.053, 2.379, 6.408, 3.799, 8.906, -7.819, 2.664, 9.976, 4.24, 3.95, -8.667]",Excited,0.72,1a1981c5-4d63-4b32-8947-3183a5eca354,Senior,Female,English
10.07,289.97,183,0.099,0.087,"[-9.682, 5.907, -2.591, 7.282, -3.068, -5.759, -9.124, -7.828, 1.522, -2.135, 7.029, -0.111, 7.854]",Angry,-0.72,048409e5-3a80-403c-b24b-06f457a1228b,Senior,Male,English
13.97,127.06,67,0.014,0.048,"[-5.542, -2.914, 6.74, -9.47, -0.247, -2.937, 7.632, 7.489, 8.705, -8.866, 4.781, -1.34, 3.523]",Sad,-0.22,97d68043-2349-42a0-863e-2f3977c5b6bf,Senior,Female,English
11.65,146.24,122,0.05,0.082,"[-6.204, 7.133, 1.904, -5.27, -5.373, -5.068, -7.927, 9.288, 3.184, 7.435, 8.736, 4.495, 5.483]",Neutral,0.0,2e44ae67-e211-418c-98b5-3e5ebba76777,Senior,Female,English
7.68,269.91,141,0.016,0.073,"[-9.957, 9.96, -6.513, 2.716, 3.883, 1.299, 6.189, -2.338, 5.02, -7.163, -1.279, 8.259, -2.006]",Fearful,-0.58,48f635f3-506f-43c4-bfc6-60aa65d0619c,Senior,Female,English
9.31,261.39,183,0.068,0.032,"[9.828, 9.243, 1.105, -9.558, -1.333, 7.837, -1.159, 5.196, 7.622, -6.85, 9.997, -7.551, -9.714]",Excited,0.5,b3cf9d76-1345-42de-b015-b9fad5fc7163,Senior,Female,English
11.88,110.34,84,0.073,0.098,"[9.442, 7.058, -1.151, 5.174, 4.857, 3.125, 0.687, -7.062, 7.426, -4.971, -4.529, -1.825, -9.09]",Sad,-0.24,356c961b-2095-4245-9fa9-dfabfc372e99,Adult,Female,English
13.38,174.46,114,0.076,0.015,"[5.114, -3.748, -1.813, 6.651, -9.723, -8.882, 1.144, -8.591, -4.437, -3.928, -6.672, -5.316, -5.4]",Neutral,0.0,fb884398-f8d0-451d-aa0e-9223da4b2dc7,Child,Male,English
6.36,201.27,142,0.036,0.055,"[-9.628, -9.445, 0.282, -2.933, 2.09, -7.211, -7.804, -1.849, -4.434, 9.074, 3.431, -2.646, -4.864]",Happy,0.7,b77b71b5-ac7c-4922-971f-0c621d8d823a,Child,Male,English
3.86,233.97,156,0.074,0.066,"[4.755, -1.113, 7.401, -8.195, -1.322, 7.265, -2.077, 2.354, -4.55, 3.772, 7.595, -7.056, 2.593]",Surprised,0.52,6bf7a3c7-9f3c-48ab-9ca0-a12933cf2f43,Adult,Female,English
17.04,133.69,77,0.066,0.052,"[-5.735, -7.012, 0.369, 0.183, -8.462, -1.181, 7.605, -5.109, 5.031, -2.293, 2.934, -8.732, -8.36]",Sad,-0.67,79f6b371-2c26-4337-bb90-909f287c6a74,Child,Male,English
9.24,187.74,104,0.018,0.027,"[-8.163, 5.874, 8.406, 2.426, 2.384, -0.403, 8.306, -4.358, -7.888, -5.468, 8.636, -6.696, -6.402]",Confused,-0.33,bbe6c563-e0dc-4f1e-92fa-b71979ccafed,Senior,Female,English
10.75,218.17,120,0.084,0.078,"[-9.242, 9.705, 7.793, -7.473, -3.781, -8.835, 4.613, -4.876, 7.475, -5.359, -2.183, -0.878, 8.31]",Fearful,-0.57,7d4adb21-5520-49a9-b0df-876318eb817b,Adult,Male,English
5.22,180.86,174,0.036,0.045,"[9.702, 4.574, -6.954, 4.665, -3.705, -5.863, -8.548, 4.899, -3.431, 6.292, 4.372, 4.493, -2.675]",Happy,0.49,c0059a04-2d59-4da2-af88-c00d8555a468,Senior,Male,English
10.36,271.17,151,0.018,0.095,"[-2.546, 1.798, -5.912, 3.917, -0.258, 1.086, 2.458, -9.803, 2.479, 7.546, 7.365, 4.79, 6.523]",Angry,-0.64,255300df-9e6b-4e0c-aa11-f3c6eae6649d,Senior,Female,English
11.04,140.39,70,0.09,0.038,"[5.635, 4.708, 5.676, -5.785, 9.961, -2.486, -8.975, 7.15, 1.021, -0.889, -5.33, 9.697, 3.204]",Bored,0.03,bfb6a44c-5062-4b08-89fb-c881ca855c76,Child,Male,English
13.27,147.33,108,0.013,0.061,"[-5.657, -1.971, -8.235, -7.926, -9.195, 8.698, 5.952, -6.667, 0.824, 4.232, -8.163, 9.387, 8.107]",Calm,0.04,b2552b75-3a9d-4131-9a9b-ced4e9016fc2,Senior,Male,English
12.01,249.19,126,0.088,0.049,"[-7.007, -5.313, -5.011, -4.754, -7.738, 8.667, 5.902, 9.935, 1.239, 7.244, 9.413, 2.459, 4.599]",Fearful,-0.26,9b669598-c907-4ec8-879c-7a16fa29cdb0,Senior,Female,English
3.52,255.85,141,0.052,0.061,"[-8.863, 7.558, -7.687, -7.172, -3.129, -0.618, -0.447, -4.239, -0.15, -4.194, -7.632, -5.453, 5.229]",Surprised,0.16,ffdd685f-2405-48de-b14c-ac094dde275a,Senior,Female,English
10.3,259.63,151,0.065,0.083,"[-2.748, 8.435, 2.043, 5.757, -4.512, 0.141, -3.656, -4.82, -2.366, 9.477, -9.108, 7.722, -5.0]",Fearful,-0.46,77441e45-5563-4bfb-b022-8d6811608d8e,Adult,Female,English
5.98,205.53,190,0.026,0.085,"[-6.364, 0.22, -7.45, -4.207, 4.741, -0.531, -4.332, 3.832, 4.793, -8.701, -3.507, -4.508, 4.584]",Excited,0.76,5ef58f3c-92d8-43ad-8056-542ad58306df,Senior,Male,English
6.99,288.26,195,0.094,0.076,"[2.095, -7.713, 9.799, 6.844, 9.277, 2.494, -6.994, 0.985, 8.698, 3.186, -9.722, -0.333, 6.324]",Angry,-0.69,6016ca8b-a909-4082-b309-9a147f06759a,Senior,Male,English
10.54,169.15,130,0.091,0.059,"[7.468, 8.669, -1.625, 4.13, 5.686, 1.983, -8.65, -1.084, -1.614, -0.729, -3.702, 4.829, 8.892]",Calm,0.29,65dcff34-18d8-4024-96ed-408b37584136,Adult,Female,English
8.39,180.91,160,0.016,0.088,"[-9.208, 6.034, -3.53, -4.077, -6.633, 3.975, 2.59, 4.673, 6.572, -0.621, -8.676, 7.356, 6.202]",Happy,0.7,085a5bf5-b453-4db3-bd58-1578f28d7c96,Child,Female,English
17.94,162.01,109,0.084,0.053,"[9.05, 9.162, -4.766, -5.63, -2.229, -4.09, 0.337, 5.113, 6.269, -9.267, -2.968, 6.525, 5.386]",Calm,0.02,dee2c073-e14c-4fac-a866-4a0d80864ebe,Child,Female,English
17.1,143.48,70,0.09,0.04,"[-0.18, 1.479, 9.259, 3.617, -4.416, 3.558, 1.632, -2.703, 4.044, 6.303, -8.535, 4.092, -5.316]",Bored,0.01,6bb2cb26-008b-41a2-aadc-6e5d7af35012,Child,Female,English
12.88,143.47,118,0.092,0.029,"[1.306, 2.798, -2.54, -9.81, -3.463, -5.852, -9.804, -8.123, 5.437, 4.778, -3.661, 6.322, 1.604]",Calm,0.14,1e1826d6-15d6-46bb-9684-2e8c9eb9cf5a,Adult,Female,English
6.76,339.79,197,0.029,0.055,"[-3.44, -2.231, 0.597, -4.81, -4.652, 4.638, -0.894, 2.611, -0.06, -8.125, -6.251, 8.203, -5.399]",Angry,-0.5,9153b653-3d9d-4b06-8f86-4235c508d94b,Adult,Male,English
6.55,282.23,154,0.017,0.043,"[-2.486, -4.55, 7.875, -7.153, -7.762, -5.394, 6.539, -5.885, 8.366, -4.277, 1.892, -3.479, -8.187]",Surprised,0.26,dc738b00-9f11-4f5c-96e0-fa1772bacf6f,Adult,Female,English
4.19,276.47,149,0.082,0.058,"[3.344, 6.825, -9.215, 2.7, 7.378, 7.861, 0.848, -7.1, 9.092, 9.933, -8.039, -6.108, 6.386]",Surprised,0.14,49cf0e79-99ee-4442-b4fa-1c4a5fe4fafd,Adult,Female,English
3.05,275.95,156,0.014,0.02,"[5.356, 6.615, 2.488, -4.305, -5.115, 9.743, 0.5, -7.435, -2.403, -4.575, -0.244, -8.489, 3.584]",Surprised,0.13,8b257f5c-6227-4684-8a38-26e2a1b58090,Adult,Male,English
9.73,146.96,120,0.09,0.092,"[-5.239, -4.527, -7.785, 9.639, 0.532, 4.97, 8.459, -7.237, 3.137, -0.799, -5.102, -8.421, 4.796]",Neutral,0.0,475dd9a4-7ddc-4065-8009-fc2893f07525,Senior,Female,English
15.71,143.49,97,0.081,0.079,"[0.793, 3.779, 0.729, -5.701, -9.098, 8.109, 6.374, -4.017, 8.095, -4.772, 8.954, -7.596, 8.034]",Calm,0.05,b2a314bc-9d20-47e2-aa44-dc7c4711b329,Adult,Male,English
14.56,136.21,71,0.021,0.043,"[-2.633, 1.911, 2.601, -3.993, 6.114, -1.089, 5.848, -0.08, -6.975, -2.623, 0.914, -6.207, 4.062]",Bored,-0.06,116695e6-c854-4748-853b-3ca89d54921c,Adult,Male,English
17.38,175.96,112,0.029,0.012,"[-1.149, 2.245, 5.004, 4.993, -2.809, 5.266, -5.683, 1.28, 7.171, -6.452, -2.266, -9.824, -3.323]",Calm,0.15,220a9ff6-6437-4a19-9fef-9ec876d11047,Senior,Male,English
13.48,203.03,88,0.029,0.061,"[-2.794, -0.963, -4.034, -6.397, -6.968, 2.23, 0.939, -4.679, 7.039, 0.672, -2.21, 1.087, 4.904]",Confused,0.07,2e11b4cb-b077-4f80-a418-47c0295c15ff,Adult,Female,English
14.71,142.06,59,0.017,0.047,"[8.068, 3.142, -9.265, -5.929, 6.62, -1.833, -1.102, 0.201, 3.448, 2.569, 1.525, -1.896, -1.836]",Bored,-0.08,615c58b4-5865-4b8f-94c2-6630a91ecc7e,Adult,Female,English
7.66,220.92,215,0.045,0.09,"[9.567, 4.526, -4.612, 0.221, 0.497, 5.086, 1.353, -1.946, 1.39, -5.608, 1.043, 6.48, -3.691]",Excited,0.87,398a9e66-b517-4662-90c3-873236b3932b,Child,Female,English
12.21,145.22,65,0.037,0.07,"[8.874, -7.5, 3.277, -6.563, -0.676, 5.254, 3.926, -1.735, 2.552, 3.9, -0.014, 9.969, -8.239]",Bored,0.03,e1e27edd-7385-4ba3-ae75-b2fa1d286ad1,Child,Male,English
14.62,146.56,97,0.059,0.027,"[-0.814, 4.278, 0.793, -2.668, 9.679, -9.248, -7.122, 5.816, -0.343, -5.883, 0.662, -0.729, -6.553]",Neutral,0.0,b01ca174-b7a1-4820-bb9e-45a33dc354a9,Senior,Male,English
13.64,166.89,53,0.048,0.064,"[7.501, -0.648, 7.852, 3.572, 4.68, -1.797, 1.198, 8.99, 9.124, 6.116, 0.46, -5.143, -6.695]",Bored,0.03,f4233e6b-f9f4-4a57-b8f9-1e7a405d4ca3,Adult,Female,English
17.33,164.38,97,0.077,0.074,"[-2.744, -3.321, -9.489, 2.999, 8.949, 2.85, 7.141, -6.745, -9.376, -7.445, 6.411, -1.525, 6.088]",Calm,0.11,11f33adc-e48f-4859-b0eb-75cbbe57c033,Senior,Female,English
19.38,138.4,61,0.086,0.074,"[-5.055, 9.304, -9.681, -0.407, 0.362, -7.666, 6.372, -8.025, 6.636, 9.182, 7.327, 1.938, 6.653]",Bored,-0.06,fb1e3e8c-173e-4112-a44f-01ab362279b8,Child,Female,English
5.31,229.71,139,0.093,0.028,"[-8.733, -6.644, 7.894, -3.354, 8.037, 0.17, 8.905, -7.235, 4.075, 8.64, -8.748, -3.868, -2.813]",Happy,0.56,a1cbb9f4-164a-470a-b87e-3662619a5504,Adult,Female,English
9.28,185.63,82,0.079,0.025,"[3.545, -0.415, 2.787, 4.829, 2.54, 5.868, -4.814, 0.498, 2.249, -2.42, 0.092, -6.348, -6.588]",Confused,0.14,7e70ff58-58bf-4913-9d12-b0b78f1b8ada,Child,Male,English
11.29,234.68,166,0.079,0.068,"[-6.319, 2.305, -8.949, 5.756, -1.784, 4.797, -5.502, 1.189, -6.519, -9.408, 2.298, -4.139, 1.985]",Excited,0.85,356bbc24-afb8-4d23-9086-0be2206fe7b9,Child,Male,English
8.92,244.6,178,0.047,0.031,"[9.519, 9.089, -1.201, 6.417, 3.082, 8.995, -5.227, 8.307, -2.912, -3.843, -4.751, 2.638, 4.6]",Happy,0.56,66dc8e26-8225-4995-8479-c2fb03cdf0a9,Senior,Female,English
11.54,156.33,115,0.012,0.053,"[8.084, 5.274, 9.208, -4.35, -0.821, -6.765, -3.58, 1.279, -9.139, 2.304, -7.779, 7.724, -3.989]",Calm,0.09,4a2f9723-2360-4d10-bb1b-821044b52e32,Child,Female,English
9.47,253.49,201,0.045,0.052,"[-2.84, 9.631, -1.498, 5.945, 5.135, -0.72, 1.781, 5.296, 3.201, 6.123, 4.442, 2.863, -7.44]",Excited,0.58,5f04565c-db9a-4b21-952c-f3e3806e0a2c,Senior,Female,English
6.79,248.95,187,0.05,0.037,"[-3.424, 8.468, -0.541, -5.649, 2.155, 0.417, -6.289, 9.676, 6.176, -4.974, 2.973, -8.833, 2.042]",Excited,0.66,5bc88ccf-a96a-403c-b0bf-c903edd0209b,Adult,Male,English
11.76,159.5,91,0.093,0.093,"[-1.578, -2.556, -5.594, 5.144, -4.335, 1.503, 6.736, -6.681, 6.321, -3.999, 7.787, -0.832, -0.107]",Confused,-0.33,ccb9c241-0047-45cc-a590-543910db4abe,Adult,Male,English
5.83,222.71,171,0.093,0.045,"[-4.783, 3.643, -3.512, 3.333, 6.902, -9.11, -1.375, -3.992, -6.169, 3.401, 3.101, -0.241, -1.265]",Excited,0.86,d189b77a-604f-4f4d-a28f-db8cbe16613a,Child,Female,English
10.15,206.55,127,0.039,0.026,"[8.959, -3.321, -2.996, -2.395, -3.485, -2.877, 6.512, 1.121, -8.288, -8.94, -7.059, -6.236, 7.103]",Fearful,-0.14,a202d53a-13d8-47fb-866b-2f28bbc5b4ac,Adult,Female,English
10.95,164.59,127,0.067,0.084,"[9.045, -6.663, 3.488, 8.056, -9.07, 4.641, 4.674, -7.93, -8.908, -5.303, 8.074, -7.231, -0.285]",Neutral,0.0,5ba0065a-37a6-4912-9ed6-0a699556c618,Adult,Male,English
15.13,192.33,117,0.073,0.039,"[-2.511, 7.893, 9.39, -4.358, -4.06, -5.615, -8.95, -4.106, 3.49, 9.099, 9.793, -7.905, -8.925]",Confused,-0.09,8a908fc7-c939-43cd-81f2-5a6af3897cac,Adult,Male,English
9.94,180.38,134,0.049,0.02,"[-0.206, -0.922, -9.72, -7.571, 1.621, -1.951, -5.649, -3.813, -2.525, 7.829, 8.778, 2.598, -9.356]",Happy,0.32,233f2037-14fb-45b4-9be0-b484914df87f,Adult,Male,English
19.17,145.11,76,0.065,0.024,"[7.048, 0.155, 2.39, 5.237, 3.088, 9.78, 2.461, 7.39, 4.544, -3.83, -2.995, 4.096, 7.968]",Sad,-0.55,d93aa60a-f8e0-4b92-b00b-5944486fb503,Senior,Female,English
11.25,237.23,148,0.071,0.088,"[-6.866, -8.95, -2.462, 3.015, -5.24, 8.33, -3.413, -6.271, 2.384, -7.392, -2.96, 4.554, -5.417]",Fearful,-0.47,1f30445e-0103-4cf2-98d0-d67cdac55ecf,Adult,Female,English
8.69,312.73,142,0.035,0.024,"[-6.136, -2.12, 2.25, -5.104, -1.484, -9.912, 9.059, 6.751, -9.943, 9.3, -7.498, -8.959, -5.281]",Angry,-0.63,9b18d032-44f2-46e7-99ee-5be7362debd0,Senior,Female,English
15.52,206.23,72,0.059,0.075,"[3.439, 2.714, 6.193, -1.452, 1.036, -2.648, 6.659, 1.032, -2.582, 7.553, -0.757, 1.78, 9.835]",Confused,-0.16,c902923d-1075-4117-b669-0ef0220f6573,Senior,Female,English
14.72,131.11,62,0.09,0.063,"[2.569, 0.119, -1.333, 2.892, -6.45, -3.338, 2.459, 5.456, -5.693, -6.099, -0.131, 9.467, 8.007]",Sad,-0.5,174d7942-8b9b-4628-a42e-d7338b17ef8b,Child,Male,English
8.57,296.06,151,0.024,0.016,"[-3.04, -9.855, 9.823, -9.355, -0.389, 5.378, 7.452, 8.884, -8.937, -6.639, 1.8, -6.305, -5.201]",Angry,-0.52,323e1a90-9a38-4360-a15c-eb37e34775a6,Child,Male,English
13.97,173.25,109,0.071,0.043,"[4.32, 5.889, 0.201, 8.911, -0.35, -4.477, 9.38, -4.115, -3.938, -1.768, 1.672, -6.8, 7.284]",Calm,0.09,02fa96cb-6c2f-4660-97cf-1c25f1c4ea1f,Senior,Female,English
10.4,148.26,118,0.097,0.093,"[2.002, -9.713, -8.228, -4.181, 6.106, 9.066, -3.231, 8.371, -5.741, 7.579, -1.442, 8.032, 5.345]",Neutral,0.0,93821f59-addd-4639-bbb1-2f999ff31c7c,Senior,Female,English
6.69,261.72,164,0.03,0.091,"[3.89, -8.374, 9.962, -9.889, -5.679, -9.59, 0.352, 4.079, -3.139, 0.281, -2.306, -1.038, 6.79]",Surprised,0.29,02b4272f-5494-4505-a04f-bcba5e7cad63,Adult,Female,English
12.74,214.31,116,0.036,0.01,"[-6.744, 3.996, -8.66, -7.362, -6.858, 8.369, -9.004, 6.99, -1.105, 5.861, 2.427, -1.285, -1.654]",Fearful,-0.33,7159e024-2343-4c83-b958-528a51b32129,Adult,Female,English
12.52,153.02,113,0.099,0.014,"[9.675, 8.55, -1.038, 9.83, -2.517, 8.591, -7.504, 0.976, -2.598, 5.231, 9.904, 6.343, -8.136]",Neutral,0.0,d2ca8f0e-2bbc-49bf-a725-7789a5f4fbac,Child,Female,English
11.46,341.42,144,0.098,0.037,"[-0.962, 6.583, 2.865, -2.064, -9.113, 6.312, -9.514, -6.47, 5.994, -0.164, -5.622, 8.176, 6.932]",Angry,-0.75,6654edc8-e6a2-491a-8d0e-c961f83d996c,Senior,Female,English
12.67,269.9,139,0.075,0.036,"[8.76, -8.082, -8.295, 2.428, -4.795, -8.316, 5.671, 6.112, -5.395, -7.76, 0.933, 7.34, 7.451]",Fearful,-0.58,dd392146-2579-4130-8344-0480b6866dbe,Child,Male,English
10.02,153.48,125,0.013,0.097,"[-0.167, 2.729, -6.277, -1.117, 2.392, -9.718, 9.086, -1.177, -2.308, -3.902, -8.183, -2.967, -8.358]",Neutral,0.0,e29c25e1-77dc-498e-8c1a-60468c4c9afc,Senior,Male,English
6.29,337.93,172,0.077,0.099,"[8.891, -6.468, -7.351, -6.216, 8.052, -8.284, -7.532, 9.439, 0.454, 1.458, 1.044, -0.464, 0.806]",Angry,-0.58,7760f1a0-ef47-4678-8524-4fce9b874516,Senior,Female,English
15.64,129.62,55,0.092,0.095,"[0.378, 7.126, -6.991, -8.525, -6.38, -3.012, 7.306, -8.141, -4.485, 5.157, -9.724, -9.844, -7.926]",Bored,-0.04,c78518c5-045f-416b-b189-8a21bf449488,Child,Female,English
11.44,333.49,193,0.021,0.028,"[6.29, 1.606, -3.221, 7.817, -4.985, -4.394, 6.563, 6.986, -9.327, -3.943, 3.56, 1.34, 1.371]",Angry,-0.86,989ebc74-c46d-4d5a-a0bc-14652fa84b30,Senior,Male,English
